culture,typeOfEntity,authorizedFormOfName,functions,sources,subjectAccessPoints,placeAccessPoints,places,history,digitalObjectURI
en,Person,Kim Morgan,Fall 2016 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/kim-morgan,IAIR Fall 2016,Halifax,"Halifax, Nova Scotia, Canada","Kim Morgan is a sculpture & installation artist based in Halifax, Nova Scotia.  Her work explores the impact of technology on people’s perceptions of time, space, and the body, and the shifting boundaries between the private and the public. She has exhibited in galleries such as Mass MoCA; John Michael Kohler Arts Centre; Cynthia Broan Gallery, NYC; St. Paul’s Gallery, New Zealand; p/m Gallery, Toronto; Confederation Art Centre, Prince Edward Island; and in public spaces – the Regina Transit System, Victoria Park, Regina, Saskatchewan, and the 2010 Vancouver Olympics.
She has received numerous awards including the Nova Scotia Masterworks Award 2012, Arts Nova Scotia Creation Grants, and was a co-recipient of a Social Science Humanities and Research Council Research and Creation Grant.  Recent residencies are The Dalhousie Medical School, The Robert Rauschenberg Foundation Residency, and The Banff Centre for the Arts.
Morgan is an Associate Professor at the Nova Scotia School of Art and Design University in Halifax, Canada.",https://artpace.org/wp-content/uploads/KMorgan-Headshot-470x470.jpg
en,Person,Kim Faler,Fall 2016 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/kim-faler,IAIR Fall 2016,Williamstown,"Williamstown, Massachusetts, USA","Kim Faler (b.1980) has exhibited internationally and throughout the United States- including exhibitions at the Massachusetts Museum of Contemporary Art (Mass MoCA) and the DeCordova Sculpture Park & Museum, as well as Mixed Greens and Gridspace in New York City. Upcoming exhibitions include the Bell Gallery at Brown University and the Beeler Gallery at the Columbus College of Art and Design in Columbus, Ohio. Faler has received numerous grants and residencies, including the Joan Mitchell MFA Grant, a US Fulbright Scholarship and the Robert Rauschenberg Foundation Residency in Captiva, Florida. She received her BFA from Ohio Wesleyan University and her MFA from the Cranbrook Academy of Art and currently lives in Williamstown, Massachusetts.",https://artpace.org/wp-content/uploads/Kim-Faler-Headshot-Credit-Sage-Sohier-470x470.jpeg
en,Person,Lily Cox-Richard,Fall 2016 International Artist-in-Residence (Texas),https://www.artpace.org/artists_and_curators/lily-cox-richard,IAIR Fall 2016,Houston,"Houston, Texas, USA","Lily Cox-Richard is a sculptor based in Houston, Texas. Her recent projects focus on systems and networks that are ubiquitous yet often unnoticed: the electrical wiring and plumbing in the walls, the sprawling mycelium underfoot, and the goods created by cottage industries. She has been awarded an Artadia grant, a Smithsonian Artist Research Fellowship, a postdoctoral fellowship in the University of Michigan’s Society of Fellows, and residencies at the Core Program, Millay Colony, RAIR Philadelphia, and the MacDowell Colony. Recent solo exhibitions include She Works Flexible (Houston), Hirschl & Adler Modern (New York), Vox Populi (Philadelphia), and the Hudson River Museum (New York).",https://artpace.org/wp-content/uploads/Lily-Cox-Richard1-470x470.jpeg
en,Person,Denise Markonish,"Fall 2016 International Artist-in-Residence Program Guest Curator
Curator, MASS MoCA",https://www.artpace.org/artists_and_curators/denise-markonish,IAIR Fall 2016,,,"Denise Markonish is the curator at MASS MoCA where her exhibitions include: Jim Shaw; Entertaining Doubts, Lee Boroson: Plastic Fantastic, Teresita Fernandez: As Above So Below, Mark Dion: The Octagon Room, Tom Philips and Johnny Carrera: Life’s Work; Oh, Canada the largest survey of contemporary Canadian art (accompanied by a 400-page catalogue co-published with MIT Press); Sanford Biggers: The Cartographer’s Conundrum, Michael Oatman: all utopias fell; Stephen Vitiello: All Those Vanished Engines, Nari Ward: Sub Mirage Lignum (catalogue); Petah Coyne: Everything That Rises Must Converge (catalogue: Yale University Press), Inigo Manglano-Ovalle: Gravity is a force to be reckoned with (catalogue: D.A.P); These Days: Elegies for Modern Times and Badlands: New Horizons in Landscape (catalogue: MIT Press. Markonish also co-edited with Susan Cross the book Sol LeWitt: 100 Views (Yale University Press). In addition to her curatorial work Markonish has taught at University of New Haven, Stonehill College and the Rhode Island School of Design. Markonish is currently working on a new projects for 2016-17 with Nick Cave, Elizabeth King, Tanja Hollander and Sarah Oppenheimer.",https://artpace.org/wp-content/uploads/DMarkonish_Headshot-470x470.jpg
en,Person,Rachel Maclean,Summer 2016 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/rachel-maclean,IAIR Summer 2016,Glasgow,"Glasgow, Scotland","Using recent technology, Rachel Maclean constructs fantasy narratives set in computer-generated landscapes that play on thorny issues of identity, social life and politics. Maclean plays each of the characters in her films, prints and photographs, donning outlandish self-made costumes and thick make-up. She superimposes the figures onto colorful backdrops using the green screen techniques of Hollywood filmmaking and draws on existing sources found on the Internet or television. Recent solo exhibitions include I HEART SCOTLAND at Edinburgh Printmakers and Over the Rainbow at the Collective Gallery, Edinburgh (both 2013). In the same year, Maclean received the Margaret Tait Award supporting experimental and innovative artists working in film and video.
Photo by Craig Gibson",https://artpace.org/wp-content/uploads/Rachel-Maclean-Credit-Craig-Gibson-470x470.png
en,Person,Juan William Chávez,Summer 2016 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/juan-william-chavez,IAIR Summer 2016,St. Louis,"St. Louis, Missouri, USA","Juan William Chávez is an artist and cultural activist who creates and shares space in the built and natural environment to address community identified issues. His studio practice incorporates drawings, films, photographs, architectural interventions, and unconventional forms of beekeeping and agriculture that utilize art as a way of researching, developing and implementing creative placemaking and socially-engaged projects. He has received awards and grants from the John Simon Guggenheim Foundation, Creative Capital, Graham Foundation and Art Matters. Chávez holds a BFA from the Kansas City Art Institute and a MFA from the School of the Art Institute of Chicago.",https://artpace.org/wp-content/uploads/JuanWilliamChavez-copy-470x470.png
en,Person,Andy Coolquitt,Summer 2016 International Artist-in-Residence (Texas),https://www.artpace.org/artists_and_curators/andy-coolquitt,IAIR Summer 2016,Austin,"Austin, Texas, USA","Andy Coolquitt was born in Texas in 1964, and currently lives in Austin. In March and April of 2015 Colquitt was artist-in-residence at Disjecta in Portland, Oregon, which culminated in the exhibition SHOWERS/GUTTERS/PIPES/ CHANNELS/DRIPS/DRIFTS/TUBES/RUNNELS/CIRCLES/SPIRALS/BOARDS/PONDS/HOSES/TUNNELS/FUNNELS/BUBBLES/ BUILDINGS/BULBS/SPEAKERS/FOUNTAINS/FLOWERS/SHOWERS. In September 2014, Coolquitt presented his fourth solo exhibition at Lisa Cooley, entitled somebody place. In April and May of 2014, Coolquitt was artist-in-residence at the Chinati Foundation in Marfa, Texas, which culminated with an exhibition, Multi-Marfa Room, at the Locker Plant in Marfa. In the spring of 2014, Coolquitt had two major solo exhibitions, including This Much at Galerie Krinzinger in Vienna, Austria, and no I didn’t go to any museums here I hate museums museums are just stores that charge you to come in there are lots of free museums here but they have names like real stores at Maryam Nassir Zadeh in New York. In 2013, Coolquitt was an artist-in-residence at 21er Haus in Vienna, Austria, and opened an exhibition there that July. In Fall 2012, he presented a major solo exhibition titled attainable excellence at AMOA-Arthouse in Austin, Texas. This exhibition was organized by the Blaffer Museum in Houston, and opened there in May 2013. A full-color monograph published by the University of Texas Press accompanied the exhibition and features contributions from Dan Fox, Matthew Higgs, Jan Tumlir, and Rachel Hooper.
Coolquitt is perhaps most widely known for a house, a performance/studio/domestic space that began as his master’s thesis project at the University of Texas at Austin in 1994, and continues to the present day. Recent exhibitions include Strange Pilgrims, at The Contemporary Austin, Texas; Thief Among Thieves, at The Museum of Contemporary Art Denver, Denver, Colorado; Burn these eyes captain, and throw them all in the sea! at Rodeo Gallery, Istanbul, Turkey; The problem today is not the other but the self, at The Goethe Institute – Ludlow 38, New York. His work is included in the collections of the Philbrook Museum of Art, Tulsa, Oklahoma; the Österreichische Galerie Belvedere, Vienna, Austria; the Henry Art Gallery at the University of Washington, Seattle, Washington; and the Frances Young Tang Teaching Museum and Art Gallery at Skidmore College, Saratoga Springs, New York.
Photo by Terri Thomas",https://artpace.org/wp-content/uploads/AndyCoolquitt-CreditTerriThomas-470x470.png
en,Person,Dominic Molon,"Summer 2016 International Artist-in-Residence Program Guest Curator
Richard Brown Baker Curator of Contemporary Art at RISD",https://www.artpace.org/artists_and_curators/dominic-molon-2,IAIR Summer 2016,,,"Dominic Molon is the Richard Brown Baker Curator of Contemporary Art at the Rhode Island School of Design Museum of Art. Previously he held positions as Chief Curator at the Contemporary Art Museum St. Louis and curator at the Museum of Contemporary Art, Chicago, where he organized major thematic survey exhibitions with a broad international and historical scope such as Production Site: The Artist’s Studio Inside-Out (2010), which addressed the pivotal role of the studio in artists’ practice.",https://artpace.org/wp-content/uploads/img-dominic-molon_124616439166.jpg_x_325x433_c-470x470.png
en,Person,Daniel García Andújar,Spring 2016 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/daniel-garcia-andujar,IAIR Spring 2016,Barcelona,"Barcelona, Spain","Daniel García Andújar began his artistic activity in the late 1980s, working mainly with video and exploring topics of racism, xenophobia, and the misuse of technology in surveillance systems. After familiarizing himself with computers and their interactive possibilities, Andújar began developing the ongoing project, Technologies To The People® (TTTP), an organization that provides those without means access to new technologies. Andújar has extensive international exhibition history, notably at the Museo Nacional Centro de Arte Reina Sofia (Madrid), the National Museum of Contemporary Art (Seoul), OPAL Contemporary Art Space (Istanbul), the Museum for Modern Art (Bremen, Germany), and the Fundacio Joan Miro (Barcelona).
Photography by Joaquín Cortés/Román Lores",https://artpace.org/wp-content/uploads/Daniel-Garcia-Andujar-headshot-470x470.jpg
en,Person,Wu Tsang,Spring 2016 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/wu-tsang,IAIR Spring 2016,Los Angeles,"Los Angeles, California, USA","Wu Tsang is an artist, performer, and filmmaker based in Los Angeles who works with the voice as a medium and representational metaphor. In 2012, Tsang was named one of Filmmaker Magazine’s “25 New Faces of Independent Film.” Tsang’s first feature WILDNESS premiered at MoMA’s Documentary Fortnight, and won the Grand Jury Prize for Outstanding Documentary at Outfest in Los Angeles. Tsang’s work has also been featured in the Whitney Biennial, Hammer Museum’s biennial, New Museum Triennial, Gwangju Biennial, The Tate Modern, Stedelijk Museum, and MOCA, Los Angeles. Her recent short YOU’RE DEAD TO ME premiered on PBS and won the 2014 Imagen Award for Best Short. Tsang was named a MacArthur Fellow in 2018 by the John D. and Catherine T. MacArthur Foundation.
Photo by Tosh Basco",https://artpace.org/wp-content/uploads/wu_tsang-webcrop.jpg
en,Person,Adriana Corral,"Spring 2016 International Artist-in-Residence (Texas)
Fall 2014 Hudson Showroom Exhibitor",https://www.artpace.org/artists_and_curators/adriana-corral,IAIR Spring 2016|HSR Fall 2014,San Antonio,"San Antonio, Texas, USA","Adriana Corral’s installations, performances, and sculptures explore universal themes of loss, injustice, concealment, and memory. Corral has received numerous awards including Outstanding Student Achievement in Contemporary Sculpture at the International Sculpture Center, NALAC Artist Grant, The Roy Crane Award for outstanding Creative Achievement in the Visual Arts, and the Joan Mitchell Emerging Artist Grant. Her work has been shown nationwide, notably at the Grounds for Sculpture in Trenton, NJ; National Museum of Mexican Art in Chicago, IL; McNay Art Museum; Artpace San Antonio; The Snite Museum at Notre Dame University; and David Shelton Gallery. Corral received her BFA at The University of Texas at El Paso majoring in Painting and Sculpture with a Certificate in Curatorial Studies and her MFA at the The University of Texas at Austin in Sculpture.
Photo by Vincent Valdez",https://artpace.org/wp-content/uploads/ACorral_Headshot_2-470x507.jpg
en,Person,Juan de Nieves,"Spring 2016 International Artist-in-Residence Program Guest Curator
",https://www.artpace.org/artists_and_curators/juan-de-nieves,IAIR Spring 2016,,,"Juan de Nieves is an independent curator living and working between Madrid and La Coruña, Spain. De Nieves received his degree in Modern and Contemporary Art from the University of Santiago de Compostela. He has been professionally involved in contemporary art from the mid 1990s as a curator for several institutions such as, Centro Galego de Arte Contemporaneo and the Espai d’Art Contemporani de Castelló. De Nieves became the Artistic Director of Rupert (Vilnius) in 2013, a new educational and residency program established in Lithuania. He served as Artistic Director of the 2nd edition of SUMMA Contemporary Art Fair (Madrid) in 2014.",https://artpace.org/wp-content/uploads/JuandeNieves_headshot-470x507.jpg
en,Person,Cally Spooner,Fall 2015 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/cally-spooner,IAIR Fall 2015,London,"London, England","Cally Spooner uses theory, philosophy, pop music, current affairs, and corporate rhetoric in her writing and performance. She produces plotless novellas, disjunctive scripts, looping monologues and musical arrangements to stage the movement and behavior of speech in contemporary culture. Spooner has had recent solo presentations and performances at Bielefelder Kunstverein, Germany; Frieze Film, London; Tate Modern, London; Performa 13, New York; Kunsthal Charlottenborg, Copenhagen; and the Stedelijk Museum Amsterdam. Spooner has recently completed a production residency at EMPAC (Experimental Media and Performing Arts Centre) at Rensselaer Polytechnic Institute in Troy, New York. She is a recipient of the Paul Hamlyn Foundation Award for Artists 2013.",https://artpace.org/wp-content/uploads/CSpooner_Headshot-470x477.jpg
en,Person,Marie Lorenz,"Fall 2015 International Artist-in-Residence (National)
Fall 2007 Hudson Showroom Exhibitor",https://www.artpace.org/artists_and_curators/marie-lorenz,IAIR Fall 2015|HSR Fall 2007,New York,"New York, New York, USA","Marie Lorenz explores urban waterways, collecting and documenting found objects and recording them in different ways, by printing, casting, or making videos. Her ongoing project The Tide and Current Taxi is a rowboat water taxi in the New York Harbor, operated by the artist to coincide with strong tidal currents. She received a BFA from Rhode Island School of Design and an MFA from Yale. Lorenz has received grants from Artists Space, the Harpo Foundation, and the Alice Kimball English Travel Fellowship. In 2008, she was awarded the Joseph H. Hazen Rome Prize for the American Academy in Rome. Her work has been shown nationally and internationally, from High Desert Test Sites in Joshua Tree, California, to MoMA PS1, New York.  She has completed solo projects at Ikon Gallery in Birmingham, England, Locust Projects in Miami, and at Jack Hanley Gallery, New York.",https://artpace.org/wp-content/uploads/MLorenz_proc_006_crop-470x470.jpg
en,Person,Larry Bamburg,Fall 2015 International Artist-in-Residence (Texas),https://www.artpace.org/artists_and_curators/larry-bamburg,IAIR Fall 2015,Marfa,"Marfa, Texas, USA","Larry Bamburg experiments with elements of the natural world, resulting in sculptural works. His process is rooted in discovery—he often establishes an end goal and then figures out how to realize it. Bamburg received a BFA in Painting and Metalsmithing from Texas Tech University, Lubbock, an MFA from the University of Massachusetts-Amherst in 2000, and attended the Skowhegan School of Painting and Sculpture in 2002. Bamburg received an Emerging Artist Grant from the Rema Hort Mann Foundation in New York. In 2013, Bamburg’s solo exhibition BurlsHoovesandShells at Simone Subal Gallery, New York was included in Jerry Saltz’s “The 10 Best Art Shows of the Year” in New York Magazine.",https://artpace.org/wp-content/uploads/LBamburg-470x470.jpg
en,Person,Cecilia Alemani,"Fall 2015 International Artist-in-Residence Program Guest Curator
Donald R. Mulen, Jr. Curator and Director of High Line Art Program",https://www.artpace.org/artists_and_curators/cecilia-alemani,IAIR Fall 2015,,,"Cecilia Alemani is the Donald R. Mullen, Jr. Curator and Director of High Line Art Program. Cecilia was a guest curator for Performa 11, and a collaborator on the Frame section at the Frieze Art Fair in London and Frieze Talks series in New York. From 2009 to 2010, she served as Curatorial Director of X Initiative, New York, a year-long experimental non-profit space where she curated numerous exhibitions including solo shows by Keren Cytter, Luke Fowler, Hans Haacke, Christian Holstad, Derek Jarman, Mika Tajima, Tris Vonna-Michell and Artur Zmijewski. At X Initiative she conceived and organized more than 50 events including performances, panel discussions, symposia, lectures, concerts and screenings. In June, 2009, Cecilia co-founded No Soul For Sale, a festival of independent spaces, non-profit organizations, and artists collectives which took place at X Initiative, and at Tate Modern – Turbine Hall in London in May, 2010 as part of the museum’s tenth anniversary celebration. She has organized numerous exhibitions including The Comfort of Strangers (MoMA/PS1, New York, 2010); boundLES (at numerous venues in the Lower East Side, New York); ONLYCONNECT (Bloomberg Headquarters with Art in General, New York, 2008); and Things Fall Apart All Over Again (Artists Space, New York, 2005). Alemani holds a BA degree in Philosophy from the University of Milan (2001) and an MA in Curatorial Studies (2005) from the Center for Curatorial Studies, Bard College, Annandale-on-Hudson, New York.",https://artpace.org/wp-content/uploads/Alemani_Web_Headshot-470x437.jpg
en,Person,Fatma Bucak,Summer 2015 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/fatma-bucak,IAIR Summer 2015,London|Istanbul,"London, UK / Istanbul, Turkey","Born in Iskenderun, Turkey, Fatma Bucak works in performance, photography, and video on subjects centered in political identity, religious mythology, and landscape as history. Her works are often participatory and are rooted in the political environments in which she works. Her recent project I must say a word about fear (2014) brought together seven ordinary Egyptian people to produce a sound installation composed from the sounds participants made while exploring objects that they had chosen to embody their fears in an environment of serious political turmoil. In 2013, Bucak won the 13th Illy Present Future Prize, and had her solo at the Castello di Rivoli Museum the following year. She was artist-in-residence at Townhouse, Cairo in 2014 and went on to win the Academy Now London award as well as being a finalist for the Catlin Art Prize and Kino Der Kunst Project Award. Her work was featured in the 54th Venice Biennale, Tese di San Cristoforo in 2011. Bucak earned her BA from the Albertina Academy of Fine Art, Turin, and her MA in Photography at the Royal College of Art, London.",https://artpace.org/wp-content/uploads/FB_headshot-470x470.jpg
en,Person,Wafaa Bilal,Summer 2015 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/wafaa-bilal,IAIR Summer 2015,New York,"New York, New York, USA","Iraqi-born artist Wafaa Bilal, an Associate Arts Professor at New York University’s Tisch School of the Arts, is known internationally for his online performance-based and interactive works, which provoke dialogue about international politics and internal dynamics. Previous projects reference surveillance, the mundane, and the things we leave behind. In Bilal’s 2007 project, Domestic Tension, which addressed the Iraq war, the artist spent a month in a Chicago gallery with a paintball gun, live streaming the space on the internet and inviting online participants to activate the gun’s aim to shoot at him in real time. Bilal graduated from the University of New Mexico and obtained an MFA at the School of the Art Institute of Chicago. In 2008 City Lights published “Shoot an Iraqi: Art, Life and Resistance Under the Gun,” about Bilal’s life and the Domestic Tension project.",https://artpace.org/wp-content/uploads/WB_headshot2-470x470.jpg
en,Person,Gabriel Martinez,Summer 2015 International Artist-in-Residence (Texas),https://www.artpace.org/artists_and_curators/gabriel-martinez,IAIR Summer 2015,Houston,"Houston, Texas, USA","Houston-based artist Gabriel Martinez creates art experiences beyond the traditional gallery setting, hinting at social and political undercurrents. Martinez has intervened in public spaces, suggesting alternate uses and interpretations for empty lots or bus stops without seating. By installing signage or benches where there previously were none, perceptions change through participation in the altered landscape.  Martinez is a 2012 CORE Fellow at the Museum of Fine Arts, Houston, as well as an artist in residence at Project Row Houses. He received his MFA from Columbia University.",https://artpace.org/wp-content/uploads/IAR_2015_2-51-470x602.jpg
en,Person,Ian Alden Russell,"Summer 2015 International Artist-in-Residence Program Guest Curator
Independent Curator",https://www.artpace.org/artists_and_curators/ian-alden-russell,IAIR Summer 2015,,,"Ian Alden Russell is an independent curator and designer based in Rhode Island. With an academic background in intellectual history, archaeology, and heritage studies, he focuses on the practice of artists and curators in galleries, museums, heritage sites, and public spaces, especially the application of social practice in the constitution of cultural heritage.",https://artpace.org/wp-content/uploads/IanAldenRussell_Headshot-470x470.jpg
en,Person,Oscar Murillo,Spring 2015 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/oscar-murillo,IAIR Spring 2015,La Paila|London,"La Paila, Colombia / London, England","Oscar Murillo’s large-scale paintings imply action, performance, and chaos, but are in fact methodically composed of rough-hewn, stitched canvases that often incorporate fragments of text as well as studio debris such as dirt and dust. His paintings, video works, and performances are tied to a notion of community, stemming from the artist’s cross-cultural ties to London, where he currently lives and works, and Colombia, where he was born in 1986. For his ongoing project Frequencies, created in collaboration with members of his family and political scientist Clara Dublanc, Murillo will visit schools across the globe where canvases temporarily affixed to classroom desks will register young students’ creative and critical thought processes. The project aims to offer cross-cultural and social insights into youth communities around the world.",https://artpace.org/wp-content/uploads/ZWIRNER_AMercantileNovel_RUDD_048-470x470.jpg
en,Person,Henry Taylor,Spring 2015 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/henry-taylor,IAIR Spring 2015,Los Angeles,"Los Angeles, California, USA","Henry Taylor’s work mixes personal figurative paintings with totemic assemblage sculpture often making the line between art and life indistinguishable. Taylor’s paintings and sculptures are generally constructed in a frenetic manner with partial gestures, half-phrases, or incomplete figures painted on varied surfaces. His studio practice is deeply informed by the sights, sounds, and most notably the people he encounters.",https://artpace.org/wp-content/uploads/taylor2-470x470.png
en,Person,Autumn Knight,Spring 2015 International Artist-in-Residence (Texas),https://www.artpace.org/artists_and_curators/autumn-knight,IAIR Spring 2015,Houston,"Houston, Texas, USA","Autumn Knight is a Houston-based interdisciplinary artist. Knight’s performance and installation work has been included in group exhibitions at various institutions including Diverseworks, Art League Houston, Project Row Houses, Houston, TX, Blaffer Art Museum, Houston, TX, Crystal Bridges Museum, Bentonville, AK, and Artpace San Antonio. She has upcoming collaborative performances at Skowhegan Space (NY) and the New Museum, New York. Knight recently completed residencies with In-Situ (UK), YICA (Yamaguchi, Japan) and Artpace (San Antonio, TX.) Autumn received her B.A. from Dillard University and M.A. from New York University.",https://artpace.org/wp-content/uploads/WALL_2014_Credit_Autumn_Knight-470x470.png
en,Person,Cesar Garcia,"Spring 2015 International Artist-in-Residence Program Guest Curator
Director and Chief Curator, The Mistake Room",https://www.artpace.org/artists_and_curators/cesar-garcia,IAIR Spring 2015,,,"Cesar Garcia is the Founding Director and Chief Curator of The Mistake Room—Los Angeles’s international contemporary art space. A scholar, writer, and curator, Garcia formerly served as the Associate Director and Senior Curator of LAXART (2007-2012). In 2008 Garcia was part of the curatorial team of the California Biennial at the Orange County Museum of Art, and in 2012 he was one of the curators of Made in L.A. 2012, the first LA Biennial organized by the Hammer Museum and LAXART. In January 2012 Garcia was appointed United States Commissioner for the 13th International Cairo Biennial in Egypt. Garcia has curated a wide range of notable exhibitions and projects including Joel Kyack’s Superclogger (2010); artist Marcos Ramirez ERRE’s retrospective at the Carrillo Gil Museum in Mexico City (with Kevin Power, 2011); a re-staging of Mark di Suvero’s Artists Tower of Protest for the Getty’s Pacific Standard Time Performance and Public Art Festival (2012); the US museum premier of Egyptian artist Wael Shawky’s Cabaret Crusades at the Hammer Museum (2013); and artist Eduardo Sarabia’s mid-career survey at the Instituto Cabañas in Guadalajara, Mexico, and the Museum of Contemporary Art of Oaxaca (2014) amongst others. At The Mistake Room Garcia has organized projects and exhibitions devoted to the work of Oscar Murillo (Colombia/UK), Gordon Matta-Clark (US), Korakrit Arunanondchai (Thailand/US), Ed Clark (US), and Vivian Suter (Switzerland/Guatemala). Currently Garcia is working on solo exhibitions with Ibrahim Mahama (Ghana), Gelitin (Vienna), and Teresa Burga (Peru), as well as on a historical survey of Third Cinema. In addition to his curatorial work, Garcia is also a Eugene V. Cota-Robles Doctoral Fellow in Culture and Performance at UCLA’s Department of World Arts and Cultures/Dance where he specializes in History and Theory of Museological, Exhibitionary and Curatorial Practices. He publishes, lectures, and teaches frequently and currently lives and works in Los Angeles.",https://artpace.org/wp-content/uploads/Garcia.jpg
en,Person,Takashi Arai,Fall 2014 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/takashi-arai,IAIR Fall 2014,Tokyo,"Tokyo, Japan","Tokyo-based artist Takashi Arai is well-known as a unique contemporary daguerreotypist in Japan. His work is not meant to showcase the object being depicted, but instead the medium of photography itself. Arai’s major solo exhibitions include EXPOSED IN A HUNDERD SUNS (2014), Photo Gallery International, Tokyo; Out of Doubt: Roppongi Crossing (2013), Mori Art Museum, Eyes of Fukushima 2: MIRRORS HALF ASLEEP (2012), Maruki Gallery for the Hiroshima Panels; Here and There – Ashita no Shima (2012), Ginza and Osaka Nikon Salons; Mirrors in Our Nights (2011), Kawasaki City Museum, Kawasaki, Rendezvous on Mirror (2006), Yokohama Museum of Art. To learn more visit TakashiArai.com.",https://artpace.org/wp-content/uploads/Takashi_by_AtsushiArai_web_crop-470x470.jpg
en,Person,Adam Helms,Fall 2014 International Artist-in-Residence (National),https://www.artpace.org/artists_and_curators/adam-helms,IAIR Fall 2014,New York,"New York, New York, USA","Adam Helms, a self-described artist-as-ethnographer, explores the psychology and iconography of radical politics and subcultures. Using a variety of media—ranging from photography, drawing, sculpture, and found images—the New York-based artist engages the viewer with archetypal representations of identity, symbolism and history. His previous awards and residencies include the Pollock-Krasner Foundation Grant NY, NY (2010), the Chinati Foundation Marfa, TX (2007), the Rema Hort Mann Foundation Visual Art Grant Award NY, NY (2006), the Louis Comfort Tiffany Foundation Award NY, NY (2005), and the Robert Schoelkopf Traveling Fellowship New Haven, CT (2003).",https://artpace.org/wp-content/uploads/Artpace-53-470x432.jpg
en,Person,Anna Krachey,Fall 2014 International Artist-in-Residence (Texas),https://www.artpace.org/artists_and_curators/anna-krachey,IAIR Fall 2014,Austin,"Austin, Texas, USA","Austin-based artist Anna Krachey’s inventive photography explores the relationship between the beholder and the work of art, awakening and provoking the world’s unexpected aesthetic possibilities. Krachey draws inspiration from her domestic life, often compiling still-life setups and household vignettes made from commonplace objects. The artist’s previous exhibitions include a recent solo exhibition entitled Lovelady, at the University of Texas, Austin, TX (2014), as well as various other group exhibitions including Mote et Air du Temps, Paris, France (2011), Always the Young Strangers, Higher Pictures, New York, New York (2011), Post-Now, Marty Walker Gallery, Dallas, Texas (2010), and Perspectives 168, Contemporary Arts Museum, Houston (2009).",https://artpace.org/wp-content/uploads/anna_website_crop-470x463.jpg
en,Person,Mika Yoshitake,"Fall 2014 International Artist-in-Residence Program Guest Curator
",https://www.artpace.org/artists_and_curators/mika-yoshitake,IAIR Fall 2014,,,"Mika Yoshitake is Curator at the Hirshhorn Museum and Sculpture Garden in Washington, D.C. At the Hirshhorn, she has curated Yayoi Kusama: Infinity Mirrors (2017), Shana Lutker: Le ‘NEW’ Monocle, Chapters 1-3 (2015-16), Le Onde: Waves of Italian Influence (2015), Days of Endless Time (with Kelly Gordon), Speculative Forms, and Gravity’s Edge (all 2014); Sitebound: Photography from the Collection and Dark Matters (with Melissa Ho in 2012), and coordinated Ai Weiwei: Trace at Hirshhorn (2017), Damage Control: Art and Destruction Since 1950 (2013) and Ai Weiwei: According to What? (2012). A specialist on postwar Japanese art, Mika earned her M.A. and Ph.D. in Art History from UCLA, which culminated in the AICA-USA award-winning exhibition and book, Requiem for the Sun: The Art of Mono-ha (2012). From 2010-2011, she served as the curatorial liaison for the Guggenheim’s Lee Ufan retrospective, and was the project coordinator of Takashi Murakami retrospective at the Museum of Contemporary Art, Los Angeles from 2005-2009. She has published in Artforum, Art in America, and Exposure and in numerous exhibition catalogues including Yayoi Kusama: Infinity Mirrors (Hirshhorn, 2017), Kishio Suga: Situations (Hangar Bicocca Pirelli, 2016), Kishio Suga (Vangi Sculpture Garden Museum, 2015), Carl Andre: Sculpture as Place (Dia Art Foundation, 2014); Tokyo 1955–1970: A New Avant-garde (MoMA, 2012); Lee Ufan: Marking Infinity (Guggenheim, 2011); Target Practice: Painting Under Attack, 1949–78 (Seattle Art Museum, 2009); and © MURAKAMI (MOCA, 2007).949–78 (Seattle Art Museum, 2009); and © MURAKAMI (MOCA, 2007).",https://artpace.org/wp-content/uploads/Untitled.jpg
en,Person,Kader Attia,Summer 2014 International Artist-in-Residence (International),https://www.artpace.org/artists_and_curators/kader-attia,IAIR Summer 2014,Berlin|Algiers,"Berlin, Germany / Algiers, Algeria","French-Algerian artist Kader Attia spent half of his time growing up in Algeria, and has taken these experiences as the basis for his on-going discovery of the ‘in-between’. His installations and video pieces deal heavily with the interactions between monotheism and polytheism, between tradition and modernity, and between Western and non-Western cultures from the post-colonial mire of Franz Fanon to now. He has exhibited profusely internationally, including recent group and solo exhibitions: Geo-graphics, A Map of Art Practices in Africa, Past and Present, BOZAR, Brussels, Belgium; THE BEAUTY OF DISTANCE: Songs of Survival in a Precarious Age, Biennale of Sydney, Sydney, Australia; Documenta 13, Kassel, Germany; and Performing Histories, Museum of Modern Art, New York.",https://artpace.org/wp-content/uploads/KAttia_crop1-470x470.jpg
